Experiment	Well	Rate	  R	Max OD	 lagTime
Efm_OD_42_new	EFM12s_7	0.01082	0.99886	0.681	140.0
Efm_OD_42_new	EFM12s_8	0.01085	0.99884	0.671	141.7
Efm_OD_42_new	EFM12s_9	0.01089	0.99931	0.662	149.4
Efm_OD_42_new	EFM12s_10	0.01049	0.99944	0.661	146.2
Efm_OD_42_new	EFM12s_11	0.01070	0.99935	0.677	140.6
Efm_OD_42_new	EFM12s_12	0.01065	0.99930	0.679	139.8
Efm_OD_42_new	EFM12s_13	0.01083	0.99939	0.689	136.4
Efm_OD_42_new	EFM12s_14	0.01101	0.99951	0.699	137.8
Efm_OD_42_new	EFM12s_15	0.01095	0.99956	0.663	146.2
Efm_OD_42_new	EFM12s_16	0.01089	0.99938	0.665	142.1
Efm_OD_42_new	EFM12s_17	0.01107	0.99912	0.669	137.9
Efm_OD_42_new	EFM12s_18	0.01102	0.99936	0.681	136.1
Efm_OD_42_new	EFM12s_19	0.01109	0.99950	0.675	132.4
Efm_OD_42_new	EFM12s_20	0.01092	0.99984	0.673	131.4
Efm_OD_42_new	EFM13s_1	0.01535	0.99954	0.887	100.2
Efm_OD_42_new	EFM13s_2	0.01480	0.99839	0.882	100.4
Efm_OD_42_new	EFM13s_3	0.01474	0.99855	0.887	106.1
Efm_OD_42_new	EFM13s_4	0.01502	0.99867	0.904	105.8
Efm_OD_42_new	EFM13s_5	0.01484	0.99811	0.909	107.0
Efm_OD_42_new	EFM13s_6	0.01500	0.99866	0.919	106.5
Efm_OD_42_new	EFM13s_7	0.01523	0.99938	0.891	113.0
Efm_OD_42_new	EFM13s_8	0.01544	0.99922	0.889	113.4
Efm_OD_42_new	EFM13s_9	0.01435	0.99826	0.831	113.9
Efm_OD_42_new	EFM13s_10	0.01396	0.99809	0.823	112.6
Efm_OD_42_new	EFM13s_11	0.01415	0.99849	0.784	99.7
Efm_OD_42_new	EFM13s_12	0.01490	0.99814	0.880	99.6
Efm_OD_42_new	EFM13s_13	0.01576	0.99930	0.902	98.0
Efm_OD_42_new	EFM13s_14	0.01543	0.99933	0.886	97.1
Efm_OD_42_new	EFM13s_15	0.01578	0.99921	0.873	99.8
Efm_OD_42_new	EFM13s_16	0.01597	0.99917	0.869	99.2
Efm_OD_42_new	EFM13s_17	0.01506	0.99770	0.895	96.3
Efm_OD_42_new	EFM13s_18	0.01498	0.99767	0.896	97.2
Efm_OD_42_new	EFM13s_19	0.01496	0.99814	0.886	98.2
Efm_OD_42_new	EFM13s_20	0.01484	0.99826	0.871	97.0
Efm_OD_42_new	EFM27s_1	0.00948	0.99983	0.787	183.0
Efm_OD_42_new	EFM27s_2	0.00945	0.99974	0.777	181.1
Efm_OD_42_new	EFM27s_3	0.01002	0.99970	0.784	164.7
Efm_OD_42_new	EFM27s_4	0.00992	0.99957	0.785	166.0
Efm_OD_42_new	EFM27s_5	0.01019	0.99948	0.776	163.9
Efm_OD_42_new	EFM27s_6	0.01028	0.99915	0.785	158.2
Efm_OD_42_new	EFM27s_7	0.01035	0.99963	0.775	177.8
Efm_OD_42_new	EFM27s_8	0.01036	0.99978	0.775	175.7
Efm_OD_42_new	EFM27s_9	0.01023	0.99965	0.793	153.3
Efm_OD_42_new	EFM27s_10	0.01055	0.99894	0.801	152.3
Efm_OD_42_new	EFM27s_11	0.00920	0.99965	0.768	177.5
Efm_OD_42_new	EFM27s_12	0.00924	0.99991	0.759	182.2
Efm_OD_42_new	EFM27s_13	0.00903	0.99952	0.749	161.1
Efm_OD_42_new	EFM27s_14	0.00935	0.99965	0.739	163.3
Efm_OD_42_new	EFM27s_15	0.00911	0.99964	0.748	194.1
Efm_OD_42_new	EFM27s_16	0.00934	0.99968	0.748	190.1
Efm_OD_42_new	EFM27s_17	0.00951	0.99953	0.739	165.6
Efm_OD_42_new	EFM27s_18	0.00960	0.99946	0.742	165.0
Efm_OD_42_new	EFM27s_19	0.00957	0.99965	0.767	160.1
Efm_OD_42_new	EFM27s_20	0.00951	0.99961	0.767	163.0
Efm_OD_42_new	EFM45_1	0.01108	0.99951	0.859	143.1
Efm_OD_42_new	EFM45_2	0.01172	0.99949	0.916	144.6
Efm_OD_42_new	EFM45_3	0.01258	0.99958	0.895	143.8
Efm_OD_42_new	EFM45_4	0.01260	0.99949	0.866	145.6
Efm_OD_42_new	EFM45_5	0.01240	0.99947	0.883	145.6
Efm_OD_42_new	EFM45_6	0.01239	0.99944	0.895	143.5
Efm_OD_42_new	EFM45_7	0.01421	0.99893	0.833	193.8
Efm_OD_42_new	EFM45_8	0.01410	0.99909	0.834	193.2
Efm_OD_42_new	EFM45_9	0.01226	0.99980	0.905	135.1
Efm_OD_42_new	EFM45_10	0.01103	0.99893	0.914	128.8
Efm_OD_42_new	EFM45_11	0.01056	0.99945	0.908	143.1
Efm_OD_42_new	EFM45_12	0.01116	0.99967	0.924	148.7
Efm_OD_42_new	EFM45_13	0.01206	0.99940	0.794	176.0
Efm_OD_42_new	EFM45_14	0.01177	0.99969	0.854	172.1
Efm_OD_42_new	EFM45_15	0.01315	0.99951	0.862	146.0
Efm_OD_42_new	EFM45_16	0.01278	0.99939	0.812	148.7
Efm_OD_42_new	EFM45_17	0.01330	0.99943	0.899	145.3
Efm_OD_42_new	EFM45_18	0.01329	0.99948	0.921	144.3
Efm_OD_42_new	EFM45_19	0.01228	0.99945	0.878	141.7
